LocusID,Gene Name,Gene Synonyns,Product Name,Product Synonyms,Human_Sputum_B,Human_Sputum_A,Human_Sputum_C,Human_Sputum_D,Human_Sputum_E,Human_Sputum_F,Human_Sputum_G,HumanSputum_EM55B,HumanSputum_EM59,HumanSputum_EM60B,HumanSputum_EM13,HumanSputum_EM24,HumanSputum_EM30,HumanSputum_EM33,HumanSputum_EM35B,HumanSputum_EM36,HumanSputum_EM37B,HumanSputum_EM43,HumanSputum_EM48B,HumanSputum_EM49 ,HumanSputum_EM53B,HumanSputum_EM6,HumanSputum_EM61,HumanSputum_EM70
PA0035,trpA,--,tryptophan synthase alpha chain,--,27,12,26,53,14,13,65,68,9,11,16,0,5,15,22,10,1,9,24,15,21,22,8,153
PA0036,trpB,--,tryptophan synthase beta chain,--,70,33,78,159,32,25,269,249,31,10,41,21,26,44,60,34,22,18,45,22,58,11,10,103
PA0037,trpI,--,transcriptional regulator TrpI,--,38,25,39,11,6,26,227,76,11,3,14,24,18,18,26,13,11,22,6,16,30,20,7,40
PA0038,--,--,hypothetical protein,--,214,18,444,38,125,14,643,59,124,16,319,13,14,719,22,2,3,14,9,23,59,57,75,214
PA0039,--,--,hypothetical protein,--,716,39,1084,307,90,44,4359,288,138,37,163,11,38,122,105,35,26,97,30,35,125,417,36,317
PA0040,--,--,conserved hypothetical protein,--,11,7,12,4,5,8,52,209,12,5,26,7,15,40,32,5,18,5,23,54,50,12,13,9
PA0041,--,--,probable hemagglutinin,--,37,23,62,21,13,22,324,190,26,8,38,47,26,74,40,8,17,16,17,57,129,8,11,99
PA0042,--,--,hypothetical protein,--,17,26,27,8,8,8,86,78,25,1,2,0,13,15,20,2,15,6,4,8,11,2,4,21
PA0043,--,--,hypothetical protein,--,32,7,20,9,18,5,93,109,9,12,31,0,21,29,32,5,6,27,15,9,18,12,3,28
PA0044,exoT,--,exoenzyme T,--,56,40,110,16,19,51,57,151,49,9,131,7,14,26,75,40,218,107,4,16,63,53,14,516
PA0045,--,--,hypothetical protein,--,7,1,1,0,3,0,15,6,6,0,2,0,0,1,10,0,5,2,0,1,10,1,3,14
PA0046,--,--,hypothetical protein,--,4,8,0,1,2,2,25,13,5,0,3,0,0,0,8,1,4,8,3,2,11,4,0,10
PA0047,--,--,hypothetical protein,--,7,10,4,0,1,0,22,6,0,3,0,0,0,0,4,4,7,0,1,1,4,0,0,7
PA0048,--,--,probable transcriptional regulator,--,18,7,3,14,4,4,22,15,1,0,0,11,1,7,1,3,13,9,3,0,0,0,3,6
PA0049,--,--,hypothetical protein,--,11,9,12,5,11,0,131,12,23,3,14,0,4,0,2,12,0,16,11,2,9,24,14,26
PA0050,--,--,hypothetical protein,--,3,1,13,7,7,3,25,14,8,3,6,0,7,13,11,1,6,9,0,4,10,0,2,33
PA0051,phzH,--,potential phenazine-modifying enzyme,probable glutamine amidotransferase,7,10,13,0,1,2,38,25,3,0,0,0,1,0,7,4,2,2,0,2,7,0,2,10
PA0052,--,--,hypothetical protein,--,0,4,0,0,0,0,49,10,2,0,0,0,0,0,3,0,2,4,0,6,2,8,0,3
PA0053,--,--,hypothetical protein,--,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,14,18,0,0,0,0,0,1,0
PA0054,--,yjiI,conserved hypothetical protein,--,16,50,15,13,13,8,32,74,22,7,23,12,31,21,23,15,16,18,12,3,36,25,10,33
PA0055,--,--,hypothetical protein,--,26,23,30,11,40,11,60,77,7,9,27,12,7,17,20,7,8,24,8,9,21,0,17,58
PA0056,--,--,probable transcriptional regulator,--,8,14,18,9,3,6,61,74,11,0,1,8,1,3,9,2,16,13,1,2,20,9,2,12
PA0057,--,--,hypothetical protein,--,0,0,8,7,0,0,8,43,5,0,3,7,6,6,7,1,7,0,0,10,6,0,1,1
PA0058,dsbM,--,DsbM,DsbM,4,3,1,0,0,2,4,25,3,1,0,11,2,7,2,2,0,0,0,3,5,0,6,1
PA0059,osmC,--,osmotically inducible protein OsmC,--,47,48,149,13,615,13,119,44,122,18,211,24,16,276,20,1,24,16,9,5,40,54,72,125
PA0060,--,--,conserved hypothetical protein,--,187,68,405,55,65,7,392,236,199,24,21,116,38,139,89,10,45,61,8,45,78,14,57,184
PA0061,--,--,hypothetical protein,--,58,58,134,0,35,4,105,81,66,4,22,50,24,148,42,12,31,30,9,27,20,9,43,51
PA0062,--,--,hypothetical protein,--,560,1044,2082,57,153,14,7,287,399,189,71,254,49,671,611,112,108,123,7,38,41,272,94,1627
PA0063,--,--,hypothetical protein,--,53,27,42,13,32,22,73,173,27,11,54,39,27,152,44,6,40,54,28,33,108,33,23,57
PA0064,--,--,hypothetical protein,--,41,31,41,18,20,9,139,107,43,15,8,15,34,8,40,16,14,42,15,40,93,15,16,53
PA0065,--,--,hypothetical protein,--,57,18,28,33,15,7,412,90,36,7,12,33,40,88,38,18,25,7,12,11,44,96,9,79
PA0066,--,yrdA,conserved hypothetical protein,--,71,24,70,45,32,9,187,83,7,4,13,25,22,30,30,7,5,4,4,4,32,8,15,51
PA0067,prlC,opdA,oligopeptidase A,--,344,130,362,273,186,85,1032,691,153,57,305,121,203,217,575,85,205,273,149,170,518,108,153,803
PA0068,--,--,hypothetical protein,--,134,75,68,42,49,20,170,64,28,12,57,10,20,15,198,9,22,87,81,25,38,196,42,354
PA0069,--,--,conserved hypothetical protein,--,63,63,141,24,24,21,166,185,32,12,53,19,10,49,114,15,21,63,44,27,49,52,24,119
PA0070,tagQ1,--,TagQ1,--,23,44,81,9,3,2,199,48,26,4,18,17,7,23,35,1,6,8,6,12,69,28,9,39
PA0071,tagR1,--,TagR1,--,335,132,451,31,158,32,663,387,42,25,123,54,64,69,88,30,127,81,22,32,203,44,61,511
PA0072,tagS1,--,TagS1,--,8,12,13,0,3,0,46,17,6,7,0,20,12,1,14,1,8,20,8,13,68,9,1,22
PA0073,tagT1,--,TagT1,--,28,9,13,19,4,1,83,5,4,3,3,15,4,0,6,4,4,12,8,4,64,0,4,6
PA0074,ppkA,tagE1,serine/threonine protein kinase PpkA,TagE1,62,22,142,24,22,8,554,74,31,12,80,6,26,33,43,14,18,78,10,34,195,9,6,133
PA0075,pppA,tagG1,PppA,PppA ; TagG1,18,15,60,3,6,3,297,1,9,6,37,0,1,0,12,0,5,4,3,11,37,18,1,31
PA0076,tagF1,--,TagF1,--,28,15,14,3,8,3,66,6,5,5,9,0,10,3,9,1,9,8,3,8,58,0,10,19
PA0077,icmF1,tssM1,IcmF1,IcmF1,96,25,106,18,25,4,386,70,23,8,51,15,0,11,25,7,29,32,21,33,167,35,29,146
PA0078,tssL1,--,TssL1,--,18,7,23,4,4,8,40,7,3,3,2,0,3,2,16,1,2,2,0,9,25,1,0,39
PA0079,tssK1,--,TssK1,--,34,29,30,0,6,9,150,48,14,9,19,52,8,4,45,7,20,19,15,59,182,19,4,61
PA0080,tssJ1,--,TssJ1,--,102,6,143,12,13,6,448,44,25,1,24,11,1,37,32,9,29,13,7,19,158,1,16,83
PA0081,fha1,--,Fha1,Fha1,238,116,201,79,156,57,668,194,101,30,109,72,125,97,184,47,82,57,35,23,200,65,73,502
PA0082,tssA1,--,TssA1,--,1089,448,1283,392,437,279,5242,394,507,106,401,174,218,477,659,121,337,356,230,332,457,321,150,939
PA0083,tssB1,--,TssB1,--,50,21,95,1,28,8,303,50,30,4,45,33,43,33,48,15,17,18,4,33,109,113,21,72
PA0084,tssC1,--,TssC1,--,141,90,230,11,156,165,661,97,44,4,187,52,64,120,87,33,71,57,12,49,300,78,58,323
PA0085,hcp1,--,Hcp1,Hcp1,136,31,338,37,50,55,794,61,23,7,231,39,8,29,46,4,16,38,17,27,224,18,62,324
PA0086,tagJ1,hsiE1,TagJ1,--,79,49,121,22,26,7,251,131,25,7,85,54,44,71,74,13,36,51,10,70,309,68,12,81
PA0087,tssE1,--,TssE1,--,44,27,54,9,12,9,131,55,7,2,39,52,18,36,47,12,11,23,3,24,132,12,27,67
PA0088,tssF1,--,TssF1,--,17,12,46,0,10,21,99,88,16,2,52,7,40,8,19,7,10,32,11,15,153,8,9,46
PA0089,tssG1,--,TssG1,--,16,7,57,4,14,11,221,27,5,2,25,14,1,22,4,6,2,11,5,9,66,0,14,43
PA0090,clpV1,--,ClpV1,ClpV1,62,26,128,26,20,10,583,52,19,2,62,44,22,13,34,11,14,47,14,36,228,4,18,69
PA0091,vgrG1,vgrG1a,VgrG1,VgrG1 ; VgrG1a,43,20,66,2,6,11,699,66,18,6,52,67,15,30,61,7,21,34,13,25,129,76,7,34
PA0092,tsi6,--,Tsi6,Tsi6,1,0,26,2,4,0,0,4,2,3,0,4,2,5,10,1,3,17,0,0,28,24,2,14
PA0093,tse6,--,Tse6,Tse6,18,20,48,1,10,0,0,15,21,5,27,10,18,19,44,5,5,13,5,15,74,94,2,27
PA0094,eagT6,--,EagT6,EagT6 ; hypothetical protein,3,11,23,6,15,0,0,24,9,1,9,1,6,16,14,1,14,1,4,3,22,7,8,40
PA0095,--,vgr ; VgrG1b,vgrG1b,vgrG1b,540,395,1038,206,346,20,36,328,163,101,193,64,112,184,189,42,64,201,43,62,187,313,103,708
PA0096,--,--,hypothetical protein,--,10,5,10,0,3,1,0,5,3,0,0,0,0,2,4,0,0,2,1,8,18,0,2,12
PA0097,--,--,hypothetical protein,--,23,4,9,0,5,3,0,23,1,1,3,0,0,15,12,0,0,5,0,10,21,12,5,14
PA0098,--,--,hypothetical protein,--,7,1,17,6,11,3,0,1,1,0,0,0,0,9,8,0,1,1,0,0,21,0,0,1
PA0099,--,--,type VI effector protein,type VI effector protein ; hypothetical protein,12,2,41,9,14,5,0,1,5,0,0,0,0,0,11,0,0,7,2,0,10,0,0,0
PA0100,--,--,hypothetical protein,--,112,23,171,47,23,22,0,0,54,0,0,0,0,11,94,5,47,49,17,0,89,37,0,0
PA0101,--,--,hypothetical protein,--,35,14,40,0,14,9,0,25,19,3,3,0,3,18,22,0,9,11,6,8,41,54,3,19
PA0102,--,--,probable carbonic anhydrase,--,660,362,1306,258,262,105,0,282,172,44,331,52,83,195,336,22,91,148,94,40,146,157,87,1037
PA0103,--,--,probable sulfate transporter,--,55,62,158,53,25,12,0,122,59,11,97,54,49,54,104,5,37,136,16,42,77,51,21,124
PA0104,--,--,hypothetical protein,--,26,25,34,26,13,1,0,102,32,3,18,13,89,13,43,5,19,60,35,19,34,25,9,65
PA0105,coxB,coII,cytochrome c oxidase subunit II,--,85,67,71,23,18,23,0,288,55,16,46,26,69,12,101,14,48,24,17,22,64,10,16,80
PA0106,coxA,coI,cytochrome c oxidase subunit I,--,46,35,41,11,16,14,0,224,42,9,39,2,46,69,64,6,39,23,18,21,48,40,19,76
PA0107,--,--,conserved hypothetical protein,--,4,4,11,2,4,5,0,36,10,2,1,0,6,0,10,7,8,5,0,3,7,11,0,29
PA0108,coIII,--,cytochrome c oxidase subunit III,--,44,16,19,1,4,7,0,112,30,9,26,10,0,2,24,29,35,3,10,9,23,0,4,47
PA0109,--,--,hypothetical protein,--,182,49,54,35,6,7,0,104,16,11,2,8,7,37,35,11,30,9,8,13,43,6,6,31
PA0110,--,--,hypothetical protein,--,8,7,7,5,6,6,0,74,7,0,3,0,6,11,12,2,9,0,11,0,28,0,5,15
PA0111,--,--,hypothetical protein,--,8,3,13,12,11,5,0,36,7,3,15,0,11,10,7,0,2,0,5,1,31,0,5,16
PA0112,--,--,hypothetical protein,--,6,12,12,8,1,5,0,41,3,0,5,0,10,0,8,3,8,3,4,1,10,14,0,16
PA0113,--,--,probable cytochrome c oxidase assembly factor,--,13,10,8,6,13,1,0,54,17,3,24,11,15,24,26,2,11,12,20,1,14,15,8,52
PA0114,senC,--,SenC,SenC,9,20,27,1,25,17,0,56,20,3,23,7,26,74,32,4,11,33,31,20,29,69,4,55
PA0115,--,elaA,conserved hypothetical protein,--,17,28,27,38,21,5,0,33,18,1,40,0,11,7,15,6,12,11,17,3,9,9,2,43
PA0116,--,--,hypothetical protein,--,151,30,112,46,44,33,0,208,36,14,11,9,12,19,44,6,22,47,5,11,55,28,8,62
PA0117,--,--,probable short chain dehydrogenase,--,259,121,137,54,79,11,0,184,85,75,39,45,7,69,146,25,71,21,4,15,108,79,19,189
PA0118,--,--,hypothetical protein,--,28,7,10,7,27,6,0,126,14,5,8,0,5,13,10,6,18,9,6,1,53,0,6,7
PA0119,--,--,probable dicarboxylate transporter,--,916,3784,99,99,365,68,0,150,67,36,147,127,162,134,322,75,76,84,25,24,101,80,108,213
PA0120,--,--,probable transcriptional regulator,--,113,62,10,5,47,3,0,30,15,0,12,3,16,34,33,10,11,14,4,13,17,22,9,30
PA0121,--,--,hypothetical protein,--,63,39,10,0,65,2,0,37,6,3,2,9,6,49,35,16,10,8,6,7,6,70,1,11
PA0122,rahU,--,rahU,rahU,81,93,18,15,42,12,0,44,17,1,6,0,8,5,32,11,8,5,4,5,16,24,15,76
PA0123,--,--,probable transcriptional regulator,--,119,38,115,19,7,6,0,89,11,8,7,34,13,29,83,20,39,14,3,8,30,68,8,86
PA0124,--,--,ParE toxin,ParE toxin,62,25,63,9,6,8,0,69,17,7,15,35,60,26,67,26,19,16,5,17,51,42,15,53
PA0125,--,--,ParD antitoxin,ParD antitoxin,150,105,106,36,62,36,0,214,95,29,99,136,73,126,164,50,49,37,7,56,112,249,36,166
PA0126,--,--,hypothetical protein,--,7,18,18,0,0,0,0,15,7,0,3,0,0,2,9,9,10,0,2,0,8,77,0,15
PA0127,--,--,hypothetical protein,--,21,11,10,0,4,5,0,25,8,0,15,0,4,2,8,2,13,5,3,4,10,0,0,5
PA0128,--,phnA,conserved hypothetical protein,--,99,48,142,23,31,9,0,46,38,6,39,3,12,31,39,20,12,23,9,8,37,1,4,90
PA0129,bauD,--,Amino acid permease,Amino acid permease,26,15,31,7,11,16,0,64,39,10,17,44,20,42,40,17,22,22,17,8,34,119,9,92
PA0130,bauC,--,3-Oxopropanoate dehydrogenase,3-Oxopropanoate dehydrogenase,60,39,110,59,89,23,0,175,52,23,216,8,24,75,58,26,54,176,71,20,105,32,24,451
PA0131,bauB,--,BauB,BauB,8,2,8,12,14,2,0,28,2,2,10,1,9,0,13,15,9,29,16,2,2,8,1,24
PA0132,bauA,oapT,Beta-alanine:pyruvate transaminase,omega-amino acid--pyruvate transaminase ; Beta-alanine:pyruvate transaminase,64,29,151,96,15,14,3,275,80,38,131,50,57,79,120,26,46,174,71,23,127,108,10,477
PA0133,bauR,--,BauR,BauR,59,39,28,1,12,10,0,42,13,13,25,24,44,36,61,26,26,20,5,8,21,34,5,42
PA0134,--,gda2,probable guanine deaminase,--,374,119,437,51,341,28,0,385,190,36,191,123,154,243,223,51,122,63,26,53,120,69,176,544
PA0135,--,--,hypothetical protein,--,9,3,13,25,0,2,0,3,1,0,0,6,5,0,3,0,0,11,0,0,0,0,0,5
PA0136,--,--,probable ATP-binding component of ABC transporter,--,8,7,5,0,1,4,0,31,4,0,6,0,0,31,16,2,3,1,0,3,6,1,1,2
PA0137,--,--,probable permease of ABC transporter,--,1,3,6,0,0,1,0,22,7,0,1,13,7,25,19,4,0,2,1,3,15,6,6,4
PA0138,--,--,probable permease of ABC transporter,--,3,4,2,0,0,0,0,18,1,4,0,24,2,19,9,3,2,13,0,11,5,10,4,4
PA0139,ahpC,--,alkyl hydroperoxide reductase subunit C,--,8773,3296,9751,7183,3090,2167,0,2275,696,515,5248,667,719,2816,6572,1035,1189,1320,268,244,3693,4438,1422,43224
PA0140,ahpF,--,alkyl hydroperoxide reductase subunit F,--,2474,564,2217,1058,256,228,1,1165,296,236,1554,302,591,552,2723,435,570,304,263,125,1493,761,470,6702
PA0141,--,--,conserved hypothetical protein,--,34,17,60,2,65,13,0,24,25,4,33,18,27,25,33,23,20,8,5,10,53,14,15,349
PA0142,--,--,hypothetical protein,--,27,21,29,14,17,7,16,129,36,3,34,78,33,16,65,14,7,24,20,11,53,2,24,15
PA0143,nuh,--,purine nucleosidase Nuh,nucleoside hydrolase ; purine nucleosidase Nuh,9,9,16,7,9,9,213,16,52,0,16,13,5,34,45,21,26,40,6,22,23,64,3,35
PA0144,--,--,hypothetical protein,--,0,1,9,0,0,3,28,11,2,2,3,0,3,0,5,5,0,8,2,0,7,12,1,3
PA0145,--,--,hypothetical protein,--,7,14,20,16,7,0,67,13,10,2,3,14,6,0,17,0,11,9,3,4,9,17,3,17
PA0146,--,--,conserved hypothetical protein,--,7,1,0,0,5,0,6,11,4,0,4,0,0,0,9,0,0,7,0,0,2,5,2,8
PA0147,--,--,probable oxidoreductase,--,16,9,9,6,10,1,16,37,3,1,1,15,3,23,9,3,2,1,4,6,10,2,4,5
PA0148,--,add,adenine deaminase,adenine deaminase,73,20,70,0,19,6,220,82,63,5,33,19,22,19,52,12,25,56,11,11,54,15,10,69
PA0149,--,--,probable sigma-70 factor ECF subfamily,--,27,37,50,16,24,5,52,55,9,2,2,1,16,16,21,4,14,32,6,4,7,7,10,30
PA0150,--,--,anti-sigma factor,anti-sigma factor ; probable transmembrane sensor,46,48,108,37,40,9,105,132,39,4,3,29,55,24,59,32,26,112,22,21,32,40,35,63
PA0151,--,--,probable TonB-dependent receptor,--,55,25,49,16,29,10,70,93,29,7,7,59,24,43,48,17,14,72,19,14,55,30,14,21
PA0152,pcaQ,--,transcriptional regulator PcaQ,--,12,10,5,1,0,1,15,42,10,1,6,0,0,2,15,0,9,41,6,1,13,8,5,7
PA0153,pcaH,--,protocatechuate 34-dioxygenase beta subunit,--,5,0,3,1,0,0,20,9,5,1,0,0,2,10,4,2,0,0,0,0,7,0,0,0
PA0154,pcaG,--,protocatechuate 34-dioxygenase alpha subunit,--,4,7,8,7,12,3,3,41,12,0,0,14,5,12,11,5,7,11,4,38,20,0,1,2
PA0155,pcaR,--,transcriptional regulator PcaR,--,16,18,11,2,11,7,37,89,27,4,9,2,16,11,23,5,8,3,6,7,18,7,3,34
PA0156,triA,--,Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein TriA,"probable RND efflux membrane fusion protein precursor ; Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriA  efflux membrane fusion protein precursor)",32,28,63,38,21,8,167,131,45,8,13,0,24,55,18,0,8,18,8,8,45,12,15,34
PA0157,triB,--,Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein TriB,"probable RND efflux membrane fusion protein precursor ; Resistance-Nodulation-Cell Division (RND) triclosan efflux membrane fusion protein, TriB  efflux membrane fusion protein precursor)",33,12,72,17,27,4,164,170,33,4,10,31,28,33,30,1,7,25,7,8,31,17,11,91
PA0158,triC,--,Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter TriC,"probable RND efflux transporter ; Resistance-Nodulation-Cell Division (RND) triclosan efflux transporter, TriC  efflux transporter)",303,69,278,70,136,17,1225,390,74,27,120,123,98,151,157,20,71,120,26,50,142,60,49,310
PA0159,--,--,probable transcriptional regulator,--,32,8,46,3,13,4,126,55,12,3,23,12,49,36,27,5,18,5,5,4,27,12,3,44
PA0160,--,--,hypothetical protein,--,5,4,2,6,1,0,54,14,2,1,13,0,35,3,8,10,7,6,0,2,8,0,15,18
PA0161,--,--,hypothetical protein,--,309,830,39,24,119,28,1376,1383,1200,61,124,219,273,845,552,123,364,124,89,79,1073,315,193,164
PA0162,opdC,--,histidine porin OpdC,histidine porin OpdC ,27,26,7,22,30,1,113,49,43,6,6,30,20,25,35,16,25,20,30,6,59,54,10,22
PA0163,--,--,probable transcriptional regulator,--,35,12,42,19,23,11,143,47,11,3,4,0,2,37,34,7,6,18,13,5,23,3,5,49
PA0164,--,--,probable gamma-glutamyltranspeptidase,--,206,46,221,63,13,21,6541,61,111,102,23,0,6,153,427,263,209,59,7,10,17,735,12,241
PA0165,--,--,hypothetical protein,--,1281,41,323,36,22,5,4391,34,147,24,12,5,8,549,130,80,26,13,3,0,20,762,1,248
PA0166,--,--,probable transporter,--,0,4,1,0,1,0,5,12,3,0,4,0,4,15,5,0,0,2,0,0,4,0,0,3
PA0167,--,--,probable transcriptional regulator,--,37,16,62,20,44,18,113,76,22,11,13,12,13,34,23,7,13,17,14,12,46,27,9,104
PA0168,--,yigZ,conserved hypothetical protein,--,3,6,17,1,6,5,28,38,3,3,6,0,0,0,7,0,1,7,6,12,15,0,3,49
PA0169,siaD,--,SiaD,SiaD,2,1,4,7,0,0,1,2,0,0,2,0,0,11,1,0,5,0,2,5,19,0,2,5
PA0170,--,--,hypothetical protein,--,10,0,9,9,1,0,12,12,0,0,0,0,0,0,2,1,0,4,5,6,14,5,2,2
PA0171,--,--,hypothetical protein,--,19,3,2,4,2,0,12,12,2,0,8,0,0,0,6,2,0,0,0,5,3,0,0,1
PA0172,siaA,--,SiaA,SiaA,40,10,27,1,4,8,36,53,22,6,27,0,5,0,23,2,5,13,13,26,42,17,9,19
PA0173,--,--,probable methylesterase,response regulator for chemotaxis,0,5,3,2,4,3,16,17,0,0,0,0,5,17,2,2,0,0,1,5,0,0,1,5
PA0174,--,--,conserved hypothetical protein,--,2,3,6,1,2,1,103,18,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,7
PA0175,cheR2,--,CheR2,CheR2,1,1,8,2,2,2,29,43,1,0,2,0,4,11,4,0,2,0,2,3,0,0,0,3
PA0176,--,aer2 ; mcpB,aerotaxis transducer Aer2,"methyl-accepting chemotaxis protein ; aerotaxis transducer Aer2 ; methyl-accepting chemotaxis protein, McpB",7,7,12,4,1,2,98,107,2,2,1,22,10,0,2,4,0,2,4,1,7,1,2,5
PA0177,--,--,probable purine-binding chemotaxis protein,--,5,4,12,0,0,0,440,23,4,1,2,0,0,0,19,1,2,6,0,2,5,2,2,18
PA0178,--,--,probable two-component sensor,probable chemotaxis protein sensory transduction histidine kinase,50,33,21,7,14,15,328,1204,12,3,15,0,15,1,50,5,12,12,27,14,134,19,9,49
PA0179,--,--,probable two-component response regulator,probable chemotaxis response regulator,86,16,32,28,15,5,450,260,15,1,4,0,3,1,22,2,10,4,2,5,29,0,7,23
